name,price,rating
Michter's 10 Year Old Single Barrel Rye,£199,no rating
Eagle Rare 10 Year Old,£38.95,no rating
"Angel's Envy Bourbon
Port Finish",£57.45,5
Jack Daniel's Single Barrel Select,£43.95,5
Four Roses Single Barrel Bourbon,£44.95,no rating
Woodford Reserve Distiller's Select,£33.45,5
Knob Creek 9 Year Old,£34.45,no rating
Woodford Reserve Double Oaked,£53.75,5
"Rittenhouse Bottled In Bond Straight Rye
100 Proof",£43.45,no rating
"Woodford Reserve Masters
Brandy Cask Finish",£84.45,5
Bulleit '95' Rye,£32.95,no rating
Bulleit Bourbon Whiskey,£29.95,no rating
Buffalo Trace Bourbon,£25.95,no rating
Four Roses Small Batch Select,£57.95,no rating
Wild Turkey Longbranch,£38.45,no rating
"Michter's US*1 Small Batch Bourbon
Gift Box",£53.95,5
"Gentleman Jack
Jack Daniel's",£32.95,no rating
"Jack Daniel's Old No. 7
Guitar Case",£39.95,5
Four Roses Small Batch Bourbon,£31.95,5
"Jack Daniel's Single Barrel Select Nosing Glass Pack
(45%)",£54.95,5
Maker's 46 Bourbon,£39.95,no rating
"Hudson Baby Bourbon
Tuthilltown Distillery Half Bottle",£32.95,no rating
Woodford Reserve Old Fashioned Gift Set,£34.95,no rating
"Jack Daniel's Sinatra Select
Litre Bottle",£150,5
Frey Ranch Bourbon,£54.95,5
Basil Hayden's Bourbon,£41.95,5
FEW Bourbon,£51.75,no rating
Jack Daniel's White Rabbit Saloon,£49.95,5
Horse With No Name Bourbon with Habanero Spirit,£43.95,no rating
Legent Bourbon,£47.95,no rating
Old Forester Statesman,£58.95,no rating
Old Forester Bourbon,£23.95,no rating
Jim Beam White Label,£18.95,no rating
Balcones Pot Still Bourbon,£39.25,no rating
"Four Roses Original (Yellow Label) Bourbon
Litre",£33.95,no rating
"New Riff Kentucky Straight Bourbon
Bottled In Bond",£56.95,5
High West Double Rye,£43.45,no rating
Maker's Mark,£27.95,no rating
"Jack Daniel's Legacy Sour Mash
Edition 3",£32.25,no rating
"Wild Turkey Rare Breed
Barrel Proof",£53.95,no rating
Rebel 100 Bourbon,£39.95,no rating
James Cree's Cattle Ranch 4 Year Old Bourbon,£22.95,no rating
Sazerac Rye,£43.95,no rating
James E Pepper 1776 Rye,£39.95,no rating
Bulleit 10 Year Old Bourbon,£39.95,no rating
"Michter's US*1 Single Barrel Straight Rye
Gift Box",£53.95,5
Woodford Reserve Rye Whiskey,£32.95,5
Michter's US*1 Single Barrel Straight Rye,£53.95,5
Michter's US*1 Small Batch Bourbon,£53.95,no rating
WhistlePig 10 Year Old Rye Whiskey,£82.75,no rating
Wild Turkey 101,£32.95,5
Jack Daniel's Old No.7,£24.25,no rating
Maker's Mark Kentucky Mule Cocktail Kit,£29.95,no rating
Willett's 4 Year Old Family Reserve Rye,£87.45,no rating
Jeptha Creed Straight Four Grain Bourbon,£59.95,5
FEW Cold Cut Bourbon with Cold Brew Coffee,£54.95,no rating
"Maker's Mark Cask Strength
(55.05%)",£69.95,no rating
Kentucky Owl Confiscated Bourbon,£110,no rating
Buffalo Trace White Dog Straight Rye,£27.75,no rating
Balcones Texas Rye Whisky,£43.45,no rating
"Kopper Kettle Virginia Straight Bourbon Whiskey
Belmont Farm",£39.75,no rating
Balcones Texas Single Malt Whisky,£61.95,no rating
Elijah Craig Small Batch,£45.75,no rating
Jack Daniel's Single Barrel Rye,£56.75,no rating
"Four Roses Original
(Yellow Label) Bourbon",£23.95,no rating
Daddy Rack Tennessee Straight Whiskey,£37.45,no rating
"Jack Daniel's Single Barrel
Barrel Strength",£67.95,no rating
Jim Beam Single Barrel,£36.75,5
Jack Daniels Master Distiller No 5,£49.95,5
"Templeton Rye Signature Reserve
6 Year Old",£42.95,no rating
1792 Small Batch,£39.95,no rating
Michter's US*1 Original Sour Mash Whiskey,£53.95,no rating
Tincup American Whiskey,£31.95,no rating
High West Campfire,£67.75,5
Platte Valley 3 Year Old,£30.45,no rating
"Woodford Reserve Distiller's Select
Holiday Edition",£33.45,no rating
"Wilderness Trail 6 Year Old
Bottled in Bond Single Barrel Bourbon",£90.95,no rating
"Bourbon Whiskey
Dumangin Batch 10",£70.95,no rating
"Jack Daniel's Single Barrel Select
Tin Cage",£44.95,no rating
"Jack Daniel's Legacy Sour Mash
Edition 2",£32.25,no rating
Heaven's Door Tennessee Bourbon,£77.75,5
"New Riff Single Barrel
Barrel Proof Bourbon (51.35%)",£66.95,5
Old Williamsburg Bourbon,£35.45,no rating
Balcones Baby Blue Corn Whisky,£41.75,no rating
Jack Daniel's Tennessee Straight Rye,£29.95,no rating
"Whiskey Thief Bourbon
3 Year Old",£26.95,no rating
"Michter's US*1 Original Sour Mash Whiskey
Gift Box",£53.95,no rating
Jim Beam Double Oak,£24.95,5
"Thomas H Handy Sazerac Rye
Bot.2015",£700,no rating
Kentucky Old Reserve Bourbon,£21.95,no rating
Wild Turkey 81 Proof Bourbon,£24.45,no rating
PennyPacker Bourbon,£23.95,no rating
Mellow Corn,£33.95,no rating
George Dickel No.8,£44.95,no rating
Evan Williams Extra Aged,£28.95,no rating
Driftless Glen Small Batch 4 Year Old Bourbon,£61.45,no rating
Peerless 5 Year Old Single Barrel Rye,£81.95,no rating
Rabbit Hole Heigold Straight Bourbon,£50.95,no rating
WhistlePig 12 Year Old Old World Rye Whiskey,£175,no rating
"Balcones 2016
4 Year Old Simply Whisky Dream Big",£84.95,5
Boondocks 3 Year Old Straight Rye,£52.95,no rating
"New Riff Single Barrel Proof Rye
(51.3%)",£69.95,no rating
Sagamore Double Oak Rye,£69.95,5
Jack Daniel's Master Distiller No 6,£34.95,5
Sadler's Peaky Blinder Bourbon,£22.25,no rating
Yellowstone Select,£46.95,5
Larceny 92 Proof,£47.45,5
Jack Daniel's Legacy Edition Sour Mash,£33.95,no rating
"Boondocks 8 Year Old Bourbon
Port Cask Finish",£66.25,5
Ezra Brooks Straight Rye,£30.95,no rating
Westland American Oak Single Malt,£48.95,no rating
"Pikesville 6 Year Old
110 Proof Straight Rye Heaven Hill",£94.95,5
FEW Rye,£63.45,no rating
Wild Turkey Rye,£30.95,no rating
"Thomas H Handy Sazerac Rye
Bot.2014",£700,no rating
"Jack Daniel's Old No.7
Magnum",£52.95,5
Jim Beam Devil's Cut Bourbon,£27.95,no rating
Templeton Rye 4 Year Old,£38.75,5
"Jack Daniel's Original
Litre",£35.95,5
Johnny Drum Private Stock,£52.95,no rating
McAfee's Benchmark No. 8 Straight Bourbon,£20.45,no rating
"Jack Daniel's Original
Double Magnum",£122,no rating
Rabbit Hole Boxergrail Straight Rye,£45.95,no rating
New York Ragtime Rye Double Oak Cask Strength,£44.45,no rating
Woodford Reserve Baccarat Edition,"£1,350",no rating
WhistlePig 15 Year Old Estate Oak Rye Whiskey,£245,no rating
"Kentucky Owl Straight Bourbon
Batch 10",£225,no rating
FEW Immortal Rye,£57.95,no rating
"New Riff Single Barrel Proof Rye
(52.1%)",£69.95,no rating
Peerless Small Batch Rye,£79.95,no rating
"Distillery 291 11 Month Old Rye Spirit
Boutique-y Rye",£54.95,no rating
"Copperworks 3 Year Old
Batch 1 That Boutique-y Whisky Company",£59.95,no rating
St George Baller Single Malt,£79.95,no rating
Sagamore Signature Cask Strength Rye,£72.95,5
Wilderness Trail Bottled In Bond Small Batch Bourbon,£64.95,no rating
Wilderness Trail Bottled In Bond Single Barrel Bourbon,£64.95,5
Woodford Reserve Wheat Whiskey,£34.95,no rating
Old Bardstown 90 Proof,£37.95,no rating
"Westland American Oak Single Malt
Small Bottle",£24.95,no rating
Heaven's Door Straight Rye,£78.75,5
Yellow Rose Outlaw Bourbon,£63.75,no rating
"Westland Garryana
2019 Release",£165,no rating
Rowan's Creek,£63.25,no rating
Minor Case Straight Rye,£48.95,no rating
Medley Bros Bourbon,£44.95,no rating
"WhistlePig Amburana Rye
12 Year Old TWE Exclusive",£175,5
Reservoir Wheat Whiskey,£98.95,no rating
Boondocks 11 Year Old,£50.75,no rating
"Kopper Kettle Virginia Whiskey
Belmont Farm",£37.95,no rating
"Thomas H Handy Sazerac 2011
Bot.2017",£750,5
Bower Hill Reserve Rye,£77.25,no rating
Jim Beam Rye,£26.95,no rating
War Eagle Whiskey,£32.25,no rating
"Evan Williams White Label
Bottled in Bond",£36.95,5
Rebel Yell Straight Rye Whiskey,£36.95,no rating
"Michter's US*1 Unblended American Whiskey
Gift Box",£53.95,5
New York Ragtime Rye Whiskey,£42.95,no rating
Koval Millet Whiskey,£45.95,no rating
Koval Rye Grain Spirit,£37.95,no rating
Early Times Old Reserve Bourbon,£21.45,no rating
Koval Four Grain Whiskey,£49.25,no rating
Michter's US*1 Unblended American Whiskey,£53.95,5
Dad's Hat Pennsylvania Rye Whiskey Vermouth Finish,£62.95,5
"Thomas H Handy Sazerac Rye
 Bot. 2013",£800,no rating
High West American Prairie Bourbon,£50.45,no rating
Corsair Wry Moon American Rye Spirit,£42.75,no rating
"Thomas H. Handy Sazerac Rye
Bot.2011","£1,000",no rating
"Jim Beam Black 6 Year Old
Triple Aged",£36.95,no rating
"Jack Daniel's Tennessee Bicentennial
Bot.1996",£600,5
High West Rendezvous Rye,£75.75,5
"McCarthy's Peated Oregon Single Malt
Clear Creek",£74.95,5
RI1 Rye Whisky,£64.95,no rating
Rebel Straight Bourbon,£30.45,no rating
Bernheim Original,£76.75,no rating
Uncle Nearest 1884 Small Batch Whiskey,£53.95,no rating
Driftless Glen Small Batch 4 Year Old Rye,£62.45,no rating
Ezra Brooks 99 Kentucky Straight Bourbon,£38.95,no rating
"Wilderness Trail Settlers Select Barrel Proof Rye
(58%)",£77.95,no rating
Old Potrero 18th Century Style Rye Spirit,£75.95,no rating
"Very Old Fitzgerald 1953
8 Year Old Bot.1961","£3,250",no rating
"Very Very Old Fitzgerald 1954
12 Year Old Bot.1966","£5,000",no rating
"Very Old Fitzgerald 1962
8 Year Old Bot.1970","£2,750",no rating
Peerless 4 Year Old Single Barrel Rye,£79.95,no rating
"Jack Daniel's Single Barrel Select Nosing Glass Pack
(47%)",£54.95,no rating
Woodford Reserve Malt,£34.95,no rating
"Coppersea Rye Batch 1
3 Year Old Boutique-y Whsiky Company",£59.95,no rating
"Westland Garryana
2020 Release",£165,5
"Bourbon Whiskey
Ratafia Finish Dumangin Batch 005",£68.95,no rating
"Westland Peated Single Malt
Small Bottle",£24.95,no rating
Sagamore Signature Rye,£49.95,no rating
New York Ragtime Rye Bottled in Bond,£48.25,5
Heaven's Door Double Barrel American Whiskey,£99.95,no rating
Yellow Rose Premium American Whiskey,£42.75,no rating
Westward American Single Malt,£64.45,no rating
St George Breaking & Entering American Whiskey,£54.95,no rating
"Very Old Fitzgerald 1950
12 Year Old Bot.1962","£5,500",no rating
"New Riff Kentucky Straight Rye
Bottled In Bond",£59.95,5
"Very Very Old Fitzgerald 1954
12 Year Old Bot.1966","£5,000",no rating
FEW Single Malt Triple Smoke,£63.95,no rating
FEW Single Barrel Bourbon,£63.95,no rating
"Old Oscar Pepper 1911
6 Year Old Bot.1917","£3,750",no rating
"Reservoir Hardywood Gingerbread Stout
Mashup Series 2",£84.75,no rating
"Reservoir Ardent IPA
Mashup Series 1",£84.75,no rating
"Walker's American Rye Whisky 1925
Bot.1930s","£1,350",no rating
"Biltmore Pure Rye Whiskey
Bot.1920s Hiram Walker","£1,500",no rating
"Very Old Fitzgerald 1948
8 Year Old Bot.1956","£3,500",no rating
"Boondocks 11 Year Old
Cask Strength",£62.45,no rating
"Old Fitzgerald's 1849
10 Year Old Bot.1960s","£2,750",no rating
"Very Xtra Old Fitzgerald 1959
10 Year Old Bot.1969 Glass Pack","£4,000",no rating
"Very Old Fitzgerald 1942
8 Year Old Bot.1950","£4,000",no rating
"Catoctin Creek Roundstone Rye
Cask Strength",£79.95,5
"Catoctin Creek Roundstone Rye
80 Proof",£36.95,5
Van Brunt Stillhouse Rye Spirit,£59.75,no rating
Van Brunt Stillhouse American Whiskey,£57.95,no rating
"Very Very Old Fitzgerald 1953
12 Year Old Bot.1965","£5,500",no rating
Wildcatter 8 Year Old,£54.95,no rating
"Old Fitzgerald 6 Year Old
Bot.1960s","£1,750",no rating
"WhistlePig 12 Year Old Marriage
Old World Cask Finish",£175,5
"Sonoma County Black Truffle Rye
Half Bottle",£86.45,5
"Very Old Fitzgerald 1951
8 Year Old Bot.1959","£3,250",no rating
Few Flaming Lips Brainville Rye,£145,no rating
"Henebery Whiskey
Infused With Spices",£67.75,5
Westland Sherry Wood Single Malt,£68.95,no rating
Westland Peated Single Malt,£68.95,no rating
"Midnight Moon Raspberry Moonshine
Junior Johnson's",£30.25,5
Rebel Yell Small Batch Reserve Bourbon,£35.25,no rating
Ezra Brooks Black Label Bourbon,£25.95,no rating
"Very Very Old Fitzgerald 1957
12 Year Old Bot.1970","£5,000",no rating
Rough Rider Bull Moose Three Barrel Rye,£59.95,5
Koval Rye Whiskey,£45.95,no rating
James Oliver Rye,£49.95,5
"Very Xtra Old Fitzgerald 1956
10 Year Old Bot.1966","£4,000",no rating
Pow-wow Botanical Rye Whiskey,£70.75,5
"Very Very Old Fitzgerald 12 Year Old
Bot.1980s 50% 75cl","£2,500",no rating
"Jack Daniel's Old No.7
Half Litre",£20.45,no rating
"Jack Daniel's Old No. 7
Small Bottle",£9.95,no rating
"Very Xtra Old Fitzgerald 1958
10 Year Old Bot.1969","£4,000",no rating
"Jack Daniel's 1955
5 Year Old Bot.1960","£4,500",no rating
Buffalo Trace White Dog 3 Bottle Set,£79.95,no rating
"Old Fitzgerald 1957
6 Year Old Bot.1963","£1,750",no rating
"Buffalo Trace White Dog Mash 1
Half Bottle",£26.25,5
Bourbon Deluxe 4 Year Old,£32.95,no rating
"Jack Daniel's Old No.7
Half Bottle",£14.95,no rating
Jack Daniel's Scenes from Lynchburg No.7,£399,no rating
